Sno,Name,Quantity,Price
101,phone,1,100000
102,laptop,17,70000
103,tv,19,150000
104,usb,17,500
105,ps4,21,40000
201,earrings,35,150
202,nailpolish,42,350
203,bracelete,84,900
204,lipstick,21,600
205,eyeliner,1,150
301,shirts,62,2000
302,pants,78,2500
303,skirts,39,1500
304,kurtas,93,750
305,hoodies,148,1000
401,sneakers,58,3500
402,heels,57,4000
403,sandals,50,400
404,walking/running-shoes,98,1000
405,boots,29,5000
501,crockery,94,2500
502,storagecontainer,172,500
503,carpets,95,800
504,bedsheets,161,850
505,shoerack,41,1000
